epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,157.435,0.97794,1.30141,1.29534,0.76832,0.75,0.81808,0.35092,1.55275,1.63752,1.79951,0.000548,0.000548,0.000548
46,161.012,1.07494,1.34499,1.4009,0.7121,0.725,0.74048,0.32052,1.3977,1.57078,1.63156,0.000515,0.000515,0.000515
47,164.464,0.96509,1.27419,1.26572,0.74041,0.71321,0.67642,0.2836,1.49162,1.68977,1.72991,0.000482,0.000482,0.000482
48,167.91,0.96901,1.28147,1.28832,0.53707,0.725,0.6253,0.26731,1.62493,1.73837,1.83325,0.000449,0.000449,0.000449
49,171.362,0.97245,1.26871,1.27654,0.51791,0.80581,0.66754,0.28711,1.54621,1.66085,1.81782,0.000416,0.000416,0.000416
50,174.795,0.95383,1.26891,1.26232,0.85201,0.775,0.83907,0.35333,1.3877,1.50291,1.60511,0.000383,0.000383,0.000383
51,191.626,1.00579,1.42176,1.39753,0.76293,0.55,0.68976,0.34236,1.32066,1.79943,1.51549,0.00035,0.00035,0.00035
52,195.05,0.95912,1.37093,1.33646,0.77294,0.51084,0.68969,0.40882,1.2524,1.6945,1.44791,0.000317,0.000317,0.000317
53,198.534,0.94737,1.20395,1.32731,0.69246,0.67549,0.76331,0.41337,1.23211,1.45884,1.43385,0.000284,0.000284,0.000284
54,202.009,0.9396,1.18527,1.37526,0.80423,0.71902,0.79405,0.44544,1.25621,1.64538,1.46337,0.000251,0.000251,0.000251
55,205.617,0.90881,1.10662,1.32072,0.77184,0.75,0.76929,0.39415,1.44814,1.61724,1.69465,0.000218,0.000218,0.000218
56,209.066,0.88807,1.09143,1.30396,0.63444,0.75,0.7186,0.37221,1.46343,1.63119,1.75493,0.000185,0.000185,0.000185
57,212.512,0.91327,1.13192,1.35109,0.66161,0.725,0.78402,0.39717,1.45288,1.56029,1.67372,0.000152,0.000152,0.000152
58,215.945,0.90977,1.05464,1.3178,0.80959,0.75,0.8035,0.37281,1.34784,1.4975,1.55394,0.000119,0.000119,0.000119
59,219.39,0.9084,1.08257,1.29344,0.83988,0.78695,0.80966,0.36115,1.3302,1.43542,1.53137,8.6e-05,8.6e-05,8.6e-05
60,222.821,0.88167,1.02646,1.30338,0.82366,0.825,0.78873,0.34994,1.33358,1.45592,1.52588,5.3e-05,5.3e-05,5.3e-05
