epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,194.384,0.83465,1.025,1.21251,0.85691,0.725,0.81914,0.47978,1.1108,1.24539,1.41783,0.000581,0.000581,0.000581
45,198.725,0.77968,0.97564,1.18675,0.84097,0.825,0.83118,0.50109,1.05504,1.18815,1.32023,0.000548,0.000548,0.000548
46,202.917,0.87306,0.98073,1.29696,0.81632,0.775,0.78862,0.45763,1.00323,1.07932,1.29432,0.000515,0.000515,0.000515
47,207.266,0.74506,0.91478,1.15824,0.86123,0.675,0.75262,0.44218,1.12471,1.28232,1.41321,0.000482,0.000482,0.000482
48,211.504,0.78007,0.95079,1.17382,0.82068,0.65,0.72104,0.44819,1.18691,1.34779,1.51991,0.000449,0.000449,0.000449
49,215.806,0.78067,0.93187,1.16852,0.7905,0.725,0.74522,0.41633,1.24862,1.2546,1.56469,0.000416,0.000416,0.000416
50,220.152,0.7997,0.92223,1.18103,0.79173,0.76046,0.82132,0.48963,1.09701,1.07248,1.36443,0.000383,0.000383,0.000383
51,245.42,0.73223,1.05963,1.20686,0.79582,0.8,0.83969,0.51244,1.15244,0.9625,1.43679,0.00035,0.00035,0.00035
52,248.746,0.74096,1.01025,1.19717,0.80636,0.75,0.80843,0.5068,1.14759,0.98304,1.40059,0.000317,0.000317,0.000317
53,251.821,0.72805,0.94455,1.18312,0.84864,0.70085,0.81031,0.52282,1.10933,1.06916,1.37395,0.000284,0.000284,0.000284
54,254.722,0.7072,0.86657,1.23486,0.75314,0.8,0.78838,0.49293,1.0621,1.04665,1.37529,0.000251,0.000251,0.000251
55,257.833,0.62898,0.79991,1.13857,0.86586,0.75,0.83117,0.48205,1.04259,1.04503,1.34253,0.000218,0.000218,0.000218
56,261.102,0.62787,0.78245,1.12834,0.80395,0.82023,0.8338,0.50541,1.037,1.07249,1.31372,0.000185,0.000185,0.000185
57,264.175,0.64173,0.81589,1.19796,0.8417,0.85,0.83398,0.52432,0.99073,1.05939,1.29004,0.000152,0.000152,0.000152
58,267.289,0.62427,0.75199,1.11447,0.84258,0.775,0.82741,0.51024,1.07684,0.99102,1.40463,0.000119,0.000119,0.000119
59,270.538,0.63921,0.78354,1.139,0.76514,0.825,0.78387,0.49868,1.08362,1.01064,1.43128,8.6e-05,8.6e-05,8.6e-05
60,273.673,0.58921,0.72262,1.12022,0.77721,0.825,0.77414,0.4955,1.10405,1.00653,1.45205,5.3e-05,5.3e-05,5.3e-05
