epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,309.99,1.20988,1.63062,1.48756,0.66396,0.6,0.67691,0.28417,1.43891,2.00329,1.66829,0.000515,0.000515,0.000515
47,316.732,1.11513,1.58386,1.37217,0.59621,0.66457,0.67965,0.27639,1.47573,1.94347,1.76567,0.000482,0.000482,0.000482
48,323.342,1.12809,1.63334,1.39088,0.58115,0.65918,0.64753,0.27121,1.43243,2.02876,1.77344,0.000449,0.000449,0.000449
49,330.007,1.0869,1.5826,1.36983,0.72239,0.65,0.71254,0.30158,1.4141,1.98822,1.73578,0.000416,0.000416,0.000416
50,336.678,1.09875,1.61596,1.38532,0.61237,0.65,0.66273,0.29105,1.42292,1.88485,1.69112,0.000383,0.000383,0.000383
51,357.425,1.25468,1.87201,1.58875,0.61555,0.625,0.69076,0.28051,1.4786,1.99127,1.76751,0.00035,0.00035,0.00035
52,364.011,1.24096,1.74716,1.53358,0.63385,0.7,0.75174,0.28949,1.60006,1.81628,1.87465,0.000317,0.000317,0.000317
53,370.549,1.21266,1.57888,1.51913,0.588,0.725,0.69997,0.28971,1.60745,2.01254,1.854,0.000284,0.000284,0.000284
54,377.096,1.24627,1.59077,1.5888,0.46779,0.7,0.60024,0.23709,1.49738,2.33321,1.71027,0.000251,0.000251,0.000251
55,383.646,1.16463,1.55087,1.46341,0.59693,0.675,0.71522,0.30562,1.34481,1.94965,1.54623,0.000218,0.000218,0.000218
56,390.293,1.13342,1.45177,1.43483,0.60904,0.65,0.67726,0.2815,1.41013,2.02655,1.62826,0.000185,0.000185,0.000185
57,396.829,1.11891,1.4933,1.48438,0.56058,0.575,0.59165,0.22972,1.58581,2.15198,1.76309,0.000152,0.000152,0.000152
58,403.403,1.11394,1.42951,1.45148,0.73241,0.625,0.68862,0.27,1.51213,1.93352,1.69976,0.000119,0.000119,0.000119
59,409.96,1.11787,1.41357,1.43614,0.73297,0.6864,0.73293,0.30037,1.49351,1.84067,1.69947,8.6e-05,8.6e-05,8.6e-05
60,416.614,1.0714,1.40592,1.44076,0.81344,0.675,0.73014,0.29405,1.49458,1.87112,1.71875,5.3e-05,5.3e-05,5.3e-05
