epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4386,1.22008,3.44948,1.45551,0.00064,1,0.32189,0.18609,1.17765,15.8668,1.27118,0.000541775,0.000541775,0.000541775
2,9.94065,1.3373,2.76231,1.5028,0.28373,0.175,0.24679,0.10396,1.43418,19.8224,1.68886,0.00107933,0.00107933,0.00107933
3,14.3427,1.47236,2.64205,1.58584,0.20797,0.3375,0.24522,0.0863,1.51219,27.0982,2.03017,0.00159856,0.00159856,0.00159856
4,18.675,1.5424,2.41088,1.60696,0.1758,0.3375,0.20471,0.07737,1.5771,116.368,1.93259,0.00158448,0.00158448,0.00158448
